	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
1346	2707002	1.3	División administrativa.Municipio		Lucena							MITMA.IGN.NGMEP														Oficial						-4.48451348	37.40901404	30.0	368620.807805797	4141281.29167074	0989c3	14038000000	Córdoba	14
1347	2707003	1.3	División administrativa.Municipio		Luque							MITMA.IGN.NGMEP														Oficial						-4.27765852	37.55956888	30.0	387155.017420025	4157717.14806051	0967c4	14039000000	Córdoba	14
1348	2707011	1.3	División administrativa.Municipio		Obejo							MITMA.IGN.NGMEP														Oficial						-4.80059964	38.13442999	30.0	342194.950792778	4222261.94968284	0902c1	14047000000	Córdoba	14
1349	2707005	1.3	División administrativa.Municipio		Montemayor							MITMA.IGN.NGMEP														Oficial						-4.69899102	37.64747277	30.0	350116.267590149	4168060.14483848	0966c1	14041000000	Córdoba	14
1350	2707007	1.3	División administrativa.Municipio		Montoro							MITMA.IGN.NGMEP														Oficial						-4.38130891	38.02639376	30.0	378765.386860201	4209643.81665766	0903c3	14043000000	Córdoba	14
1351	2707008	1.3	División administrativa.Municipio		Monturque							MITMA.IGN.NGMEP														Oficial						-4.58088184	37.47356745	30.0	360211.843642254	4148582.30469043	0988c2	14044000000	Córdoba	14
1352	2707009	1.3	División administrativa.Municipio		Moriles							MITMA.IGN.NGMEP														Oficial						-4.60916325	37.43498961	30.0	357637.787709274	4144344.33532285	0988c2	14045000000	Córdoba	14
1353	2707010	1.3	División administrativa.Municipio		Nueva Carteya							MITMA.IGN.NGMEP														Oficial						-4.46660548	37.58553839	30.0	370510.99840147	4160842.23560412	0967c1	14046000000	Córdoba	14
1355	2707012	1.3	División administrativa.Municipio		Palenciana							MITMA.IGN.NGMEP														Oficial						-4.58251386	37.24883679	30.0	359649.498065843	4123650.57275592	1006c4	14048000000	Córdoba	14
1357	2707014	1.3	División administrativa.Municipio		Pedro Abad							MITMA.IGN.NGMEP														Oficial						-4.45502044	37.96637631	30.0	372191.414534748	4203082.9048457	0924c1	14050000000	Córdoba	14
