	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
1400	007-00129-01-01	2016-04-13	2016-10-19	449797.0	4144948.0	189.0
1401	007-00131-00-00	2007-07-04	2007-07-04	328677.0	4097835.0	0.0
1403	007-00135-00-00	2006-03-27	2006-06-05	527429.0	4246898.0	70.0
1418	007-00198-03-0	2021-03-01	2021-03-10	461549.0	4142246.0	9.0
1421	007-00211-03-80	2014-03-25	2014-11-03	429408.0	4169786.0	223.0
1422	007-00211-05	2013-08-06	2013-11-05	429362.0	4169742.0	91.0
1442	007-00387-00-00	2006-03-27	2006-06-05	526224.0	4252444.0	70.0
1445	007-00481-00-00	2006-03-27	2006-10-30	501323.0	4170574.0	217.0
1454	007-00639-02	2016-04-12	2016-10-18	438401.0	4139602.0	189.0
1459	007-00681-02	2013-08-27	2013-11-04	516697.0	4247993.0	69.0
1470	008-00001-01-00	2011-03-16	2011-11-14	349068.0	4113883.0	243.0
1475	008-00004-32-60	2021-01-19	2021-03-23	249676.0	4143744.0	63.0
1481	008-00007-03	2015-06-30	2015-10-13	435726.0	4113664.0	105.0
1485	008-00008-08	2019-07-01	2019-10-07	365959.0	4162696.0	98.0
1499	008-00021-00-0	2010-03-16	2010-10-27	438977.0	4130135.0	225.0
1504	008-00021-03-01	2016-04-11	2016-10-10	438977.0	4130135.0	182.0
1506	008-00023-00-00	2006-03-28	2006-11-06	498793.0	4171027.0	223.0
1509	008-00023-03-1	2016-03-16	2016-11-16	341764.0	4159395.0	245.0
1513	008-00025-01	2021-02-25	2021-03-16	283990.0	4122640.0	19.0
1521	008-00033-00	2011-06-21	2011-10-26	408655.47	4108494.46	127.0
1533	008-00048-05-00	2011-08-08	2011-10-25	448219.75	4140746.64	78.0
1536	008-00053-01-0	2020-03-25	2020-11-04	441341.0	4149103.0	224.0
1539	008-00062-01	2010-03-10	2010-11-17	368848.0	4121206.0	252.0
1541	008-00062-01-1	2012-03-14	2012-11-14	368848.0	4121206.0	245.0
1543	008-00063-01-00	2009-03-10	2009-11-18	368968.0	4121246.0	253.0
1547	008-00065-00-00	2008-03-17	2008-11-18	345794.0	4220158.0	246.0
1548	008-00066-00-00	2006-03-13	2006-11-06	437458.0	4211412.0	238.0
1556	008-00077-01	2018-03-27	2018-11-08	444463.0	4147855.0	226.0
1561	008-00085-01-00	2020-03-17	2020-11-10	332345.0	4172035.0	238.0
1567	008-00098-01-00	2012-03-15	2012-11-12	411853.0	4206166.0	242.0
1573	008-00107-01-00	2021-03-10	2021-03-24	320934.0	4132560.0	14.0
1577	008-00113-01	2020-08-17	2020-08-17	418540.0	4168878.0	0.0
1582	008-00122-00-00	2006-03-27	2006-11-13	346565.0	4151114.0	231.0
1587	008-00130-00-00	2006-03-28	2006-11-14	377907.0	4208258.0	231.0
1589	008-00141-00-02	2011-03-14	2011-11-02	400647.0	4123099.0	233.0
1594	008-00153-01-00	2010-03-16	2010-11-09	463732.0	4143940.0	238.0
1603	008-00165-00-AG	2006-06-07	2006-06-13	194589.0	4130894.0	6.0
1616	008-00204-07-00	2015-03-18	2015-10-21	335036.0	4107019.0	217.0
1618	008-00212-00-00	2006-03-27	2006-11-13	395910.0	4085489.0	231.0
1619	008-00215-00-00	2006-03-28	2006-10-24	520636.0	4243725.0	210.0
1620	008-00215-00-10	2007-06-05	2007-11-06	520636.0	4243725.0	154.0
1626	008-00251-01-1	2017-09-27	2017-09-27	480316.14	4219082.88	0.0
1630	008-00275-02	2014-03-18	2014-10-22	419245.0	4182203.0	218.0
1632	008-00281-00-00	2006-04-17	2006-08-14	442616.0	4205509.0	119.0
1634	008-00284-01	2021-02-16	2021-03-17	442729.0	4205302.0	29.0
1636	008-00311-01	2011-03-16	2011-10-26	419198.0	4168390.0	224.0
1643	008-00359-00-00	2006-07-24	2006-10-24	435117.97	4138552.56	92.0
1657	008-00464-00-00	2006-05-08	2006-11-08	518854.0	4176923.0	184.0
1658	008-00480-11-07	2015-03-24	2015-11-17	376812.0	4134553.0	238.0
1661	008-00511-00-00	2006-08-09	2006-10-11	538943.0	4185504.0	63.0
