	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
2524	014-00033-02	2014-03-17	2014-10-28	425874.0	4185224.0	225.0
2532	014-00052-01-0	2013-03-18	2013-11-04	464112.0	4231088.0	231.0
2533	014-00052-02-01	2010-04-19	2010-10-25	464493.0	4226100.0	189.0
2536	014-00057-00-00	2007-03-13	2007-11-13	425379.0	4121143.0	245.0
2539	014-00067-01-19	2021-03-10	2021-03-24	302.236	4.092371	14.0
2542	014-00072-00-00	2006-04-17	2006-08-14	443874.0	4204973.0	119.0
2544	014-00081-00-00	2006-03-07	2006-09-11	439116.0	4184069.0	188.0
2545	014-00081-01	2011-03-22	2011-10-18	449935.0	4186253.0	210.0
2546	014-00087-00-00	2006-03-14	2006-11-06	437725.0	4206443.0	237.0
2548	014-00089-02	2017-04-20	2017-09-27	277359.588	4130060.848	160.0
2553	014-00101-01	2021-03-10	2021-03-17	472060.0	4228376.0	7.0
2556	014-00106-07	2009-03-09	2009-11-02	425390.0	4137962.0	238.0
2559	014-00123-01	2015-09-09	2015-11-09	175411.0	4142450.0	61.0
2575	014-002-5	2021-03-08	2021-03-16	463432.0	4226248.0	8.0
2579	014-00243-00-00	2007-05-07	2007-11-13	363078.0	4161838.0	190.0
2584	014-00339-00-30	2009-03-18	2009-04-29	379079.0	4129555.0	42.0
2585	014-00352-00-00	2006-03-08	2006-11-13	477552.0	4210660.0	250.0
2594	014-09004-17-00	2015-09-14	2015-09-14	348151.0	4073912.0	0.0
2595	014-107-2	2021-03-08	2021-03-17	458453.0	4230249.0	9.0
2616	015-00009-02-00	2018-04-17	2018-11-13	306572.0	4090953.0	210.0
2619	015-00013-01	2011-03-09	2011-06-29	335190.0	4103143.0	112.0
2620	015-00013-01-01	2011-03-09	2011-11-16	335190.0	4103143.0	252.0
2623	015-00014-04-01	2011-03-08	2011-11-16	358585.0	4115074.0	253.0
2629	015-00015-15	2019-07-01	2019-10-07	370315.0	4163286.0	98.0
2639	015-00024-03-00	2011-04-04	2011-10-25	440856.0	4208047.0	204.0
2641	015-00025-01-02	2010-03-10	2010-10-20	370495.0	4114901.0	224.0
2652	015-00032-03-00	2021-03-10	2021-03-24	316871.0	4133170.0	14.0
2656	015-00037-01	2020-08-17	2020-08-17	420062.0	4161499.0	0.0
2658	015-00039-03-10	2013-08-13	2013-11-05	424833.0	4187884.0	84.0
2674	015-00064-05-00	2015-09-14	2015-10-28	341393.0	4070633.0	44.0
2675	015-00067-01	2012-03-14	2012-11-14	336289.0	4103355.0	245.0
2683	015-00086-01-63	2020-08-11	2020-10-14	403901.0	4213457.0	64.0
2684	015-00086-01-64	2021-03-17	2021-03-17	403899.0	4213256.0	0.0
2692	015-00108-02	2009-03-11	2009-07-15	359061.0	4096915.0	126.0
2694	015-00115-03-00	2009-03-10	2009-11-04	462641.0	4224990.0	239.0
2708	015-00158-03-01	2009-03-10	2009-11-16	319813.0	4096341.0	251.0
2713	015-00189-02-01	2021-03-10	2021-03-15	329196.66	4130396.7026	5.0
2716	015-00203-00-00	2006-03-20	2006-06-26	506140.0	4224924.0	98.0
2721	015-00213-01-01	2015-03-24	2015-11-17	370382.0	4129314.0	238.0
2728	015-00264-02	2020-03-09	2020-10-26	462859.0	4224220.0	231.0
2740	015-00333-00-00	2007-05-15	2007-11-20	516415.0	4182725.0	189.0
2747	015-00430-00-10	2007-04-25	2007-11-07	463601.0	4208776.0	196.0
2750	015-264-2	2021-03-08	2021-03-16	462859.0	4224220.0	8.0
2765	016-00012-01	2014-03-24	2014-10-06	496780.0	4216590.0	196.0
2769	016-00016-16	2019-07-01	2019-10-07	372346.0	4164065.0	98.0
2777	016-00026-01	2011-03-08	2011-07-05	349985.0	4108604.0	119.0
2783	016-00040-00-00	2006-03-22	2006-11-15	348165.0	4139496.0	238.0
2798	016-00054-01-01	2015-03-24	2015-11-17	377924.0	4130131.0	238.0
2811	016-00082-01-1	2012-03-14	2012-11-12	353001.0	4106595.0	243.0
2812	016-00087-00-00	2006-03-27	2006-11-15	522481.0	4155950.0	233.0
2813	016-00087-01	2020-05-06	2020-11-11	423165.0	4121438.0	189.0
2814	016-00087-03	2019-08-06	2019-10-15	512576.0	4230767.0	70.0
2816	016-00088-03-00	2009-03-09	2009-11-09	466012.0	4226802.0	245.0
2817	016-00089-00-00	2007-06-05	2007-11-06	521359.0	4247139.0	154.0
2818	016-00089-00-80	2006-03-28	2006-11-08	521359.0	4247139.0	225.0
2823	016-00112-01	2019-03-27	2019-11-06	421377.0	4120533.0	224.0
2824	016-00112-01-01	2020-03-25	2020-11-10	421377.0	4120533.0	230.0
2827	016-00119-02	2015-09-01	2015-10-21	504414.0	4221465.0	50.0
2839	016-00147-00-00	2006-03-22	2006-11-15	382969.0	4212056.0	238.0
2840	016-00168-01-19	2021-03-10	2021-03-24	300.721	4.093063	14.0
2843	016-00169-01	2011-07-13	2011-10-26	416243.0	4176557.0	105.0
2845	016-00170-00-00	2006-03-07	2006-09-11	432847.0	4184857.0	188.0
2852	016-00204-01	2014-03-18	2014-10-27	423461.0	4189658.0	223.0
2853	016-00204-01-01	2013-04-08	2013-11-05	423461.0	4189658.0	211.0
2856	016-00209-02	2015-08-26	2015-10-28	423018192190.0	4119740524940.0	63.0
2865	016-00378-01	2016-06-06	2016-07-06	4338617.0	42140411.0	30.0
2871	016-00494-00-00	2006-03-27	2006-11-08	434287.0	4215380.0	226.0
2874	016-00716-01	2016-03-09	2016-05-25	4340816.0	42140830.0	77.0
2879	017-00002-03-00	2010-03-17	2010-06-09	572579.0	4116926.0	84.0
2881	017-00003-02	2020-03-09	2020-10-28	460682.0	4224820.0	233.0
2882	017-00003-02-00	2011-03-15	2011-10-31	460850.0	4225042.0	230.0
2889	017-00006-11-02	2013-03-20	2013-11-20	330853.0	4152480.0	245.0
2896	017-00017-17	2019-07-01	2019-10-07	373435.0	4162646.0	98.0
2898	017-00019-02-38	2021-03-10	2021-03-24	298.924	4.095014	14.0
2904	017-00026-01-01	2021-03-03	2021-03-24	311372.0	4107428.0	21.0
2906	017-00027-00-M0	2008-03-10	2008-10-21	285242.0	4082520.0	225.0
2911	017-00029-02-00	2018-04-17	2018-11-13	303801.0	4090143.0	210.0
2919	017-00039-01	2011-03-09	2011-06-29	379712.0	4103150.0	112.0
2925	017-00053-01-04	2006-08-01	2006-10-24	439917.0	4118411.0	84.0
2927	017-00058-01-00	2009-03-09	2009-11-10	469107.0	4226780.0	246.0
2931	017-00065-01-00	2021-03-10	2021-03-24	320363.0	4138008.0	14.0
2935	017-00073-01-01	2009-03-10	2009-11-17	375302.0	4097064.0	252.0
2936	017-00077-01-00	2009-03-10	2009-11-03	460783.0	4225811.0	238.0
2943	017-00129-00-00	2008-09-16	2008-10-21	467349.0	4227894.0	35.0
2946	017-00133-01-34	2021-03-17	2021-03-17	390767.0	4159106.0	0.0
2948	017-00147-01-00	2011-03-08	2011-11-16	370766.0	4116420.0	253.0
2949	017-00147-01-01	2010-03-10	2010-11-17	370766.0	4116420.0	252.0
2962	017-00242-04	2011-03-22	2011-10-18	442134.0	4181461.0	210.0
2970	017-003-2	2021-02-26	2021-03-15	460682.0	4224820.0	17.0
2979	018-00001-01	2010-03-24	2010-11-10	377407.0	4130047.0	231.0
2990	018-00008-00-00	2007-03-20	2007-11-13	326068.0	4173229.0	238.0
2995	018-00009-04	2010-03-15	2010-11-15	357524.0	4112223.0	245.0
2997	018-00012-00-00	2008-03-10	2008-09-02	283107.0	4081747.0	176.0
3007	018-00018-18	2019-07-01	2019-10-07	374214.0	4160904.0	98.0
3009	018-00021-01	2019-03-18	2019-11-12	349404.0	4137108.0	239.0
3012	018-00027-01-00	2019-09-05	2019-09-26	484108.87186	4189110.9603	21.0
3017	018-00041-01	2020-03-09	2020-05-20	444365.0	4228329.0	72.0
3023	018-00055-01-1	2015-07-28	2015-11-03	494141.0	4226847.0	98.0
3034	018-00082-06-38	2021-03-10	2021-03-24	298.942	4.095886	14.0
3046	018-00142-01-00	2021-03-10	2021-03-24	324021.0	4133686.0	14.0
3053	018-00186-00-1	2021-02-16	2021-03-17	447658.0	4204405.0	29.0
3068	018-00423-01	2014-03-18	2014-10-27	420740.0	4190258.0	223.0
3069	018-00423-01-01	2013-03-18	2013-11-05	420740.0	4190258.0	232.0
3071	018-00449-03-01	2015-03-18	2015-11-18	384185.0	4126987.0	245.0
3078	018-00650-01	2015-09-02	2015-10-21	491888.0	4215171.0	49.0
3082	019-00001-00-A0	2008-03-12	2008-11-19	370576.0	4119393.0	252.0
3086	019-00001-03-2	2016-03-09	2016-11-02	336340.0	4107838.0	238.0
3087	019-00001-08	2020-03-10	2020-10-20	457810.0	4222917.0	224.0
3092	019-00006-00-00	2007-03-21	2007-10-17	377081.0	4130003.0	210.0
3097	019-00010-02	2018-02-20	2018-10-03	358911.0	4113796.0	225.0
3106	019-00019-19	2019-07-01	2019-10-07	373796.0	4159867.0	98.0
3108	019-00020-01	2017-03-08	2017-10-03	320641.0	4131212.0	209.0
3111	019-00020-12	2010-04-13	2010-11-10	3864424313.0	42113702829.0	211.0
3112	019-00021-01	2016-04-06	2016-11-02	470832.0	4214339.0	210.0
3113	019-00023-03-01	2014-06-16	2014-11-11	330368.0	4090843.0	148.0
3120	019-00037-00-00	2008-03-11	2008-11-19	354573.0	4110742.0	253.0
3121	019-00037-01	2010-03-10	2010-11-10	354573.0	4110742.0	245.0
3124	019-00041-01	2020-06-22	2020-09-14	75208287.0	414428469.0	84.0
3133	019-00049-01-01	2011-03-30	2011-10-18	281964.0	4081789.0	202.0
3135	019-00050-01-01	2021-03-03	2021-03-24	345670.0	4108100.0	21.0
3136	019-00052-08-01	2015-03-18	2015-11-18	375823.0	4128696.0	245.0
3137	019-00052-09-00	2019-08-27	2019-10-17	482338.0	4200518.0	51.0
3138	019-00053-00-00	2006-03-22	2006-10-31	363400.0	4156700.0	223.0
3146	019-00081-00-00	2006-04-18	2006-08-15	442779.0	4214850.0	119.0
3154	019-001-8	2021-02-25	2021-03-17	457810.0	4222917.0	20.0
3164	019-00201-01-03	2011-03-16	2011-11-23	356370.0	4216251.0	252.0
3166	019-00203-01-02	2015-03-23	2015-07-15	414188.0	4149472.0	114.0
3175	019-00306-01-1	2017-04-20	2017-09-27	278543.0	4131276.0	160.0
3177	019-00353-01	2019-07-01	2019-09-09	367796.0	4170660.0	70.0
3179	019-00364-01-14	2014-03-17	2014-11-10	484378.0	4233178.0	238.0
3180	019-00385-01	2015-09-16	2015-11-04	368020.0	4168783.0	49.0
3189	020-00004-02-01	2009-03-10	2009-11-16	319503.0	4099188.0	251.0
3190	020-00006-00-00	2008-03-12	2008-11-19	361974.0	4114752.0	252.0
3202	020-00032-13-00	2021-03-01	2021-03-11	233817.0	4070912.0	10.0
3215	020-00066-01-70	2014-03-17	2014-11-10	485209.0	4231673.0	238.0
3220	020-00071-00-00	2007-08-14	2007-11-13	331737.0	4158804.0	91.0
3222	020-00073-02	2015-03-17	2015-11-11	376630.0	4130906.0	239.0
3225	020-00076-17	2020-05-06	2020-11-11	451035.0	4117211.0	189.0
3229	020-00098-00-00	2006-03-20	2006-06-19	451491.0	4172275.0	91.0
3248	020-00178-00-00	2007-04-17	2007-11-07	205937.0	4132900.0	204.0
3253	020-00214-01-01	2021-03-03	2021-03-24	316112.0	4105709.0	21.0
3258	020-00245-01	2014-03-18	2014-10-27	417267.0	4193096.0	223.0
3265	020-00326-02-01	2013-03-18	2013-11-05	417669.0	4193141.0	232.0
3270	021-00002-04-01	2014-03-10	2014-10-28	362470.0	4220796.0	232.0
3271	021-00002-04-B	2010-03-16	2010-11-02	332590.0	4164955.0	231.0
3275	021-00003-01	2021-03-03	2021-03-17	298988.0	4081893.0	14.0
3276	021-00003-07-00	2021-03-10	2021-03-24	322489.297	413251.878	14.0
3277	021-00006-00-00	2007-03-13	2007-11-13	415192.0	4120895.0	245.0
3282	021-00008-01	2013-06-17	2013-11-06	461870.0	4227166.0	142.0
3285	021-00010-01-01	2011-03-07	2011-11-14	362757.0	4115193.0	252.0
3286	021-00010-08-00	2009-03-11	2009-11-10	461099.0	4223352.0	244.0
3296	021-00023-07-01	2015-03-24	2015-11-17	382356.0	4128781.0	238.0
3297	021-00026-01	2017-06-21	2017-11-08	417827.0	4088837.0	140.0
3299	021-00028-01-00	2014-03-12	2014-11-18	371814.0	4146570.0	251.0
3301	021-00033-01-01	2016-03-08	2016-11-02	334233.0	4108738.0	239.0
3302	021-00034-01-01	2015-03-11	2015-11-04	334048.0	4108626.0	238.0
3307	021-00049-01-01	2021-03-10	2021-03-24	316122.0	4104471.0	14.0
3313	021-00056-02-01	2013-03-18	2013-11-05	416160.0	4192186.0	232.0
3315	021-00057-02	2014-03-18	2014-10-20	416160.0	4192186.0	216.0
3330	021-00113-01	2016-03-15	2016-11-08	441365.0	4217590.0	238.0
3331	021-00114-00-00	2006-03-07	2006-09-06	430633.0	4178588.0	183.0
3333	021-00123-01	2014-03-07	2014-11-10	378980.0	4197616.0	248.0
3336	021-00129-02-00	2013-03-14	2013-11-04	379017.0	4197929.0	235.0
3338	021-00173-01	2017-04-20	2017-09-27	277404.21	4130414.23	160.0
3341	021-00192-00-00	2006-03-28	2006-11-06	429742.0	4214222.0	223.0
3342	021-00192-00-10	2009-03-18	2009-04-29	382409.0	4129513.0	42.0
3343	021-00204-02	2012-03-28	2012-10-17	483984.0	4232967.0	203.0
3345	021-00222-01-00	2012-03-09	2012-11-20	379563.0	4198013.0	256.0
3349	021-00237-01-02	2015-03-18	2015-10-28	484780.0	4232954.0	224.0
3351	021-00250-01	2019-07-01	2019-09-09	370019.0	4169950.0	70.0
3359	021-00489-01	2015-09-09	2015-10-07	495131.0	4220930.0	28.0
3361	022-00001-01	2020-03-09	2020-10-26	461930.0	4227138.0	231.0
3365	022-00003-01-1	2012-03-19	2012-11-13	374746.0	4120240.0	239.0
3370	022-00010-01-00	2009-03-10	2009-11-04	461849.0	4227685.0	239.0
3381	022-00046-01	2015-09-09	2015-10-07	503487.0	4231922.0	28.0
3382	022-00047-00-00	2008-03-24	2008-11-18	358926.0	4155436.0	239.0
3387	022-00059-00-00	2006-03-29	2006-10-25	383500.0	4129300.0	210.0
3394	022-00082-02-01	2013-03-11	2013-05-22	346346.0	4162896.0	72.0
3400	022-00088-05-24	2014-03-17	2014-11-10	483359.0	4231224.0	238.0
3401	022-00099-01	2012-03-21	2012-11-21	364141.0	4128217.0	245.0
3403	022-00099-01-01	2010-03-10	2010-11-17	364141.0	4128217.0	252.0
3404	022-00099-02	2019-08-13	2019-10-15	505917.0	4233781.0	63.0
3405	022-001-1	2021-03-09	2021-03-16	461930.0	4227138.0	7.0
3409	022-00114-01	2009-03-09	2009-11-02	413338.0	4146955.0	238.0
3412	022-00129-02	2020-07-08	2020-10-07	498162.0	4219465.0	91.0
3414	022-00133-01-06	2014-03-17	2014-11-10	475425.0	4228868.0	238.0
3419	022-00141-03-00	2009-03-09	2009-11-16	342828.0	4135097.0	252.0
3420	022-00166-00-00	2006-08-02	2006-10-11	541075.0	4187044.0	70.0
3425	022-00201-00-00	2006-03-27	2006-11-13	393385.0	4087622.0	231.0
3429	022-00248-01-01	2015-03-18	2015-10-28	476008.0	4228189.0	224.0
3431	022-00260-07	2016-03-14	2016-10-07	464141.0	4199187.0	207.0
3451	023-00005-44-00	2011-03-15	2011-05-10	301354.0	4192352.0	56.0
3457	023-00008-02-01	2016-03-22	2016-10-31	369460.0	4105364.0	223.0
3476	023-00028-03-1	2015-03-16	2015-10-05	367006.0	4115480.0	203.0
3482	023-00033-00-A0	2008-03-21	2008-11-18	351881.0	4181373.0	242.0
3487	023-00042-01-0	2012-03-21	2012-11-14	375274.0	4119943.0	238.0
3489	023-00042-01-01	2010-03-10	2010-11-10	375274.0	4119943.0	245.0
3492	023-00046-01	2019-07-01	2019-09-02	367600.0	4174427.0	63.0
3493	023-00047-02-01	2010-03-09	2010-11-15	342223.0	4219483.0	251.0
3495	023-00055-00-00	2017-09-20	2017-10-11	313311.0	4103856.0	21.0
3498	023-00061-00-00	2006-03-22	2006-11-15	385349.0	4213221.0	238.0
3503	023-00085-01	2021-03-12	2021-03-12	463841.0	4198377.0	0.0
3505	023-00086-07	2021-03-12	2021-03-12	463821.0	4196770.0	0.0
3510	023-00095-04-1	2020-08-18	2020-10-19	414114.0	4161375.0	62.0
3512	023-00100-00-00	2006-05-09	2006-11-06	446145.0	4178145.0	181.0
3515	023-00109-01	2017-03-07	2017-10-02	326722.0	4126502.0	209.0
3517	023-00117-00-00	2006-03-27	2006-11-13	376065.0	4196165.0	231.0
3520	023-00119-02-18	2014-03-17	2014-11-10	483880.0	4229144.0	238.0
3526	023-00137-00-00	2006-03-20	2006-11-13	462888.0	4171534.0	238.0
3531	023-00174-00-00	2007-03-12	2007-11-21	383202.0	4130971.0	254.0
3535	023-00213-00-00	2006-04-10	2006-11-06	165866.0	4147776.0	210.0
3541	023-00453-05	2014-04-08	2014-10-01	506416.0	4216897.0	176.0
3549	024-00005-00-00	2006-06-06	2006-06-12	445001.0	4178433.0	6.0
3550	024-00005-01-0	2020-07-07	2020-10-05	444574.0	4178006.0	90.0
3552	024-00007-01-07	2015-03-18	2015-10-28	485356.0	4231932.0	224.0
3554	024-00008-07	2010-04-13	2010-11-10	241588.0	4060892.0	211.0
3563	024-00031-00-40	2009-03-10	2009-11-16	368432.0	4114303.0	251.0
3566	024-00031-04-1	2012-03-14	2012-11-14	368432.0	4114303.0	245.0
3567	024-00031-09-01	2009-03-11	2009-11-17	324591.0	4097486.0	251.0
3568	024-00033-02	2017-03-08	2017-09-26	320642.0	4127877.0	202.0
3572	024-00047-00-00	2008-09-16	2008-10-21	462580.0	4229480.0	35.0
3573	024-00047-01-00	2009-03-10	2009-11-04	462769.0	4229488.0	239.0
3575	024-00052-01-1	2013-06-10	2013-11-06	462487.0	4229722.0	149.0
3579	024-00079-00-00	2006-03-22	2006-06-21	453672.0	4187896.0	91.0
3582	024-00113-00-00	2006-03-08	2006-09-06	434270.0	4177008.0	182.0
3587	024-00144-03	2009-03-10	2009-11-02	409830.0	4146427.0	237.0
3590	024-00181-01-00	2015-09-15	2015-10-21	393534.0	4087574.0	36.0
3593	024-00224-00-80	2009-03-18	2009-04-29	386357.0	4131537.0	42.0
3594	024-00237-01	2009-03-10	2009-04-06	407998.0	4146640.0	27.0
3599	024-00410-01-00	2015-02-23	2015-11-03	494632.0	4216060.0	253.0
3602	025-00001-02-0	2019-08-29	2019-10-17	486208.58	4227022.52	49.0
3607	025-00002-10	2011-03-09	2011-06-29	340281.0	4096261.0	112.0
3608	025-00002-10-01	2011-03-09	2011-11-16	340281.0	4096261.0	252.0
3611	025-00006-01-01	2020-04-14	2020-06-10	390699.0	4175257.0	57.0
3617	025-00016-01-0	2018-03-23	2018-11-08	481349.0	4186162.0	230.0
3618	025-00016-02	2020-06-25	2020-10-05	502335.0	4231240.0	102.0
3621	025-00020-02-00	2021-03-10	2021-03-24	321902.0	4127801.0	14.0
3628	025-00032-04-01	2015-03-24	2015-11-17	374533.0	4131480.0	238.0
3636	025-00072-01	2015-09-16	2015-10-08	486181.0	4229500.0	22.0
3641	025-00078-02-01	2021-03-03	2021-03-24	311542.0	4105654.0	21.0
3643	025-00087-00-20	2006-03-27	2006-11-13	366657.0	4177029.0	231.0
3644	025-00090-00-00	2009-03-09	2009-11-09	341242.0	4136978.0	245.0
3645	025-00090-03-00	2009-03-09	2009-11-16	341242.0	4136978.0	252.0
3659	025-00146-00-00	2008-07-01	2008-10-22	399619.0	4194529.0	113.0
3661	025-00165-00-00	2009-03-09	2009-11-09	342462.0	4136847.0	245.0
3662	025-00165-02-00	2009-03-09	2009-11-16	342462.0	4136847.0	252.0
3666	025-00202-01-01	2010-03-10	2010-11-16	327278.0	4094658.0	251.0
3676	025-00327-01-00	2009-03-09	2009-11-09	468420.0	4225521.0	245.0
3679	025-00418-01	2014-03-17	2014-10-29	420114.0	4184305.0	226.0
3681	025-00424-00-00	2006-08-16	2006-11-15	521464.0	4147049.0	91.0
3686	026-00001-14-00	2015-03-11	2015-11-16	116412.0	4148008.0	250.0
3694	026-00006-00-00	2006-03-08	2006-09-11	433469.0	4175104.0	187.0
3695	026-00006-04-00	2011-03-16	2011-10-25	433120.0	4175368.0	223.0
3699	026-00016-01-01	2021-03-10	2021-03-24	313878.0	4107374.0	14.0
3703	026-00019-01-00	2011-03-08	2011-10-26	366128.0	4112306.0	232.0
3704	026-00019-01-01	2010-03-10	2010-11-17	366128.0	4112306.0	252.0
3706	026-00027-03-01	2017-06-21	2017-11-08	453570.0	4144165.0	140.0
3719	026-00090-02-01	2010-03-16	2010-11-16	345441.0	4166078.0	245.0
3727	026-00125-02-01	2015-03-17	2015-06-22	345226.0	4164966.0	97.0
3733	026-00154-00-00	2006-03-29	2006-11-15	379437.0	4212613.0	231.0
3738	026-00186-02	2009-03-09	2009-11-02	409504.0	4150611.0	238.0
3744	026-00579-01-1	2011-05-25	2011-10-19	437953.0	4170762.0	147.0
3753	027-00003-03	2020-04-06	2020-10-27	297241.0	4184870.0	204.0
3759	027-00010-01-01	2021-03-03	2021-03-24	312736.0	4106413.0	21.0
3762	027-00012-01-1	2019-07-10	2019-09-25	365817.0	4108642.0	77.0
3774	027-00106-01-00	2013-03-19	2013-05-27	464112.0	4231088.0	69.0
3775	027-00108-00-00	2006-03-08	2006-09-11	432503.0	4173843.0	187.0
3776	027-00109-01-01	2020-03-11	2020-09-01	428576.0	4214611.0	174.0
3778	027-00126-00-00	2019-03-25	2019-06-17	395919.0	4171312.0	84.0
3781	027-00141-01	2015-09-02	2015-11-04	474934.0	4216343.0	63.0
3787	027-00197-01-25	2013-04-17	2013-11-05	459543.0	4202088.0	202.0
3795	027-00546-01	2014-03-24	2014-10-01	493630.0	4212344.0	191.0
3802	028-00001-04-00	2011-03-15	2011-11-22	357753.0	4172970.0	252.0
3811	028-00011-00-00	2007-03-13	2007-06-11	312279.0	4074180.0	90.0
3815	028-00017-02-01	2011-03-07	2011-11-14	364748.0	4110008.0	252.0
3818	028-00025-02	2019-07-01	2019-09-02	367572.0	4176736.0	63.0
3828	028-00072-01	2017-09-06	2017-10-30	500994.74	4232915.99	54.0
3831	028-00126-00-00	2006-03-21	2006-11-15	406841.0	4162255.0	239.0
3837	028-00167-01-1	2017-03-07	2017-11-06	475600.0	4224060.0	244.0
3840	028-00169-00-00	2006-03-20	2006-11-13	468409.0	4170122.0	238.0
3855	029-00013-04	2015-09-16	2015-10-27	376072.0	4216818.0	41.0
3873	029-00033-00-00	2008-03-11	2008-03-25	362047.0	4110064.0	14.0
3874	029-00038-00-00	2006-03-22	2006-11-15	345422.0	4142894.0	238.0
3878	029-00057-01	2016-04-12	2016-11-07	474717.0	4214100.0	209.0
3879	029-00060-01	2017-03-08	2017-09-26	323958.0	4120769.0	202.0
3883	029-00075-00-00	2008-03-17	2008-11-10	344279.0	4142564.0	238.0
3888	029-00116-01	2019-07-01	2019-09-02	370862.0	4176859.0	63.0
3890	029-00118-06-00	2009-03-09	2009-11-16	343062.0	4141861.0	252.0
3896	029-00185-01-00	2016-03-15	2016-11-08	376680.0	4215060.0	238.0
3908	030-00002-01	2018-03-12	2018-10-01	361876.0	4112285.0	203.0
3911	030-00005-02-01	2015-03-18	2015-10-28	484465.0	4226721.0	224.0
3924	030-00015-02-01	2014-03-18	2014-11-11	374041.0	41008562.0	238.0
3928	030-00019-01-38	2021-03-10	2021-03-24	299.766	4.098289	14.0
3930	030-00021-01-01	2014-03-17	2014-11-11	372591.0	4114928.0	239.0
3941	030-00088-00-00	2006-03-08	2006-09-11	430695.0	4177582.0	187.0
3949	030-00175-08-63	2017-03-07	2017-10-31	300425.23	4097164.91	238.0
3950	030-00179-02-32	2021-03-10	2021-03-24	299.894	4.097785	14.0
3952	030-00233-00-00	2007-04-03	2007-11-19	362095.0	4154774.0	230.0
3954	030-00260-04	2011-03-14	2011-10-31	405909.0	4149524.0	231.0
3961	031-00008-04-01	2014-03-19	2014-11-19	339218.0	4151263.0	245.0
3963	031-00023-00-00	2006-03-20	2006-11-14	493287.0	4240530.0	239.0
3966	031-00031-00-M0	2008-03-10	2008-09-02	284528.0	4084479.0	176.0
3968	031-00031-02-01	2011-03-29	2011-10-18	284528.0	4084479.0	203.0
3972	031-00055-00-00	2006-07-11	2006-11-14	419486.0	4131775.0	126.0
3981	031-00079-00-M0	2008-03-10	2008-10-21	283386.0	4085488.0	225.0
3985	031-00083-01	2012-03-27	2012-10-15	483958.0	4227887.0	202.0
3988	031-00168-01-00	2014-03-17	2014-10-27	373954.0	4179361.0	224.0
3991	031-00204-00-00	2006-03-21	2006-11-14	503004.0	4200253.0	238.0
4001	031-00770-01-01	2020-02-12	2020-08-19	278710.0	4136652.0	189.0
4006	032-00006-00-00	2009-09-02	2009-11-16	350073.0	4157056.0	75.0
4017	032-00032-01-00	2009-03-10	2009-11-18	3428114.0	4143746.0	253.0
4018	032-00041-04	2019-03-18	2019-11-12	339459.0	4141119.0	239.0
4023	032-00049-04	2019-04-09	2019-11-12	349441.0	4155925.0	217.0
4040	032-00349-02	2011-07-20	2011-11-09	428908.0	4128445.0	112.0
4045	033-00001-005-0	2012-03-20	2012-11-20	387286.0	4164292.0	245.0
4049	033-00002-01-00	2009-03-11	2009-11-16	356764.0	4111327.0	250.0
4053	033-00004-01-30	2013-04-08	2013-11-04	454181.0	4203663.0	210.0
4057	033-00013-02	2011-03-09	2011-06-29	332498.0	4100572.0	112.0
4058	033-00013-02-01	2011-03-09	2011-11-16	332498.0	4100572.0	252.0
4060	033-00020-01	2012-03-27	2012-10-15	481289.0	4225321.0	202.0
4067	033-00033-01-02	2015-03-18	2015-10-28	481111.0	4224891.0	224.0
4070	033-00033-25	2017-03-13	2017-10-10	241243.0	4127031.0	211.0
4071	033-00035-02-00	2015-03-04	2015-03-04	336925.0	4169718.0	0.0
4078	033-00068-00-00	2006-03-29	2006-10-31	359600.0	4139600.0	216.0
4080	033-00069-01	2019-03-27	2019-11-06	421015.0	4129623.0	224.0
4094	033-00422-01-1	2017-03-07	2017-03-07	473657.0	4222373.0	0.0
4103	034-00059-06-00	2017-03-09	2017-10-24	320390.0	4116217.0	229.0
4108	034-00109-00-00	2006-03-22	2006-11-15	469185.0	4193842.0	238.0
4113	034-00185-01	2019-07-01	2019-09-02	372979.0	4174978.0	63.0
4128	035-00019-12-01	2021-02-24	2021-03-11	257562.0	4062702.0	15.0
4129	035-00026-03-32	2020-08-11	2020-09-30	450076.0	4223282.0	50.0
4131	035-00027-01-01	2018-04-16	2018-11-12	296372.0	4094011.0	210.0
4138	035-00040-03-3	2011-03-07	2011-05-23	328419.0	4094862.0	77.0
4151	035-00136-01	2012-03-21	2012-11-14	372273.0	4118936.0	238.0
4154	035-00200-01-01	2015-03-16	2015-11-03	456112.0	4148056.0	232.0
4155	035-00205-04-09	2021-03-08	2021-03-15	394528.0	4165123.0	7.0
4157	035-00205-16	2020-04-06	2020-11-03	394371.0	4165182.0	211.0
4159	035-00261-02	2021-03-16	2021-03-16	414230.0	4162559.0	0.0
4162	035-00337-01-01	2015-03-16	2015-08-04	455317.0	4149068.0	141.0
4169	035-00575-02-00	2012-03-13	2012-10-02	396910.0	4163892.0	203.0
4176	036-00011-01-00	2020-03-17	2020-11-10	338721.0	4172420.0	238.0
4178	036-00011-02	2011-03-07	2011-04-18	357269.0	4106691.0	42.0
4180	036-00022-01-1	2011-03-15	2011-11-07	458196.0	4151107.0	237.0
4181	036-00029-01	2019-07-01	2019-09-02	372000.0	4170000.0	63.0
4188	036-00047-01-01	2014-03-19	2014-11-12	350471.0	4111339.0	238.0
