	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
3438	022-00361-01-00	2010-04-05	2021-03-22	474551.0	4227887.0	4004
3439	022-00399-00-00	2006-04-11	2011-10-31	452413.0	4172531.0	2029
3440	022-00404-01-01	2017-07-04	2020-10-07	452296.0	4172568.0	1191
3441	022-00432-00-00	2006-05-02	2008-11-17	396088.0	4150039.0	930
3442	022-00434-00-00	2007-03-13	2008-11-17	395799.0	41498441.0	615
3443	022-00447-00-00	2006-05-09	2011-10-31	448413.0	4185327.0	2001
3444	022-00469-01	2016-09-13	2020-10-19	495763.0	4215248.0	1497
3445	023-00002-00-00	2006-03-27	2011-10-31	477204.0	4167858.0	2044
3446	023-00002-02	2016-03-14	2017-11-14	114614.0	4150368.0	610
3447	023-00002-02-00	2018-03-14	2021-03-29	114614.0	4150368.0	1111
3448	023-00004-01-01	2017-03-13	2019-05-08	477009.0	4167787.0	786
3449	023-00005-00-00	2006-03-22	2010-11-24	388945.0	4173294.0	1708
3450	023-00005-01	2014-03-19	2021-03-16	388945.0	4173294.0	2554
3451	023-00005-44-00	2011-03-15	2011-05-17	301354.0	4192352.0	63
3452	023-00006-00-00	2007-03-12	2009-11-23	370104.0	4105750.0	987
3453	023-00006-01-01	2010-03-10	2015-11-03	370104.0	4105750.0	2064
3454	023-00007-00-00	2006-03-08	2012-07-18	427428.0	4223571.0	2324
3455	023-00007-01-01	2009-03-16	2009-11-23			252
3456	023-00008-00-00	2006-04-05	2007-07-18	369572.0	4105570.0	469
3457	023-00008-02-01	2016-03-22	2016-11-07	369460.0	4105364.0	230
3458	023-00008-04-00	2012-03-20	2021-03-24	305888.0	4081301.0	3291
3459	023-00011-00-00	2006-03-21	2011-11-28	302844.0	4189145.0	2078
3460	023-00012-00--1	2006-03-29	2011-11-29	343088.0	4136414.0	2071
3461	023-00012-01-0	2011-03-23	2013-05-06	465532.0	4226490.0	775
3462	023-00012-01-00	2010-04-19	2011-03-16	465532.0	4226490.0	331
3463	023-00014-00-00	2006-04-03	2009-11-23	344542.0	4164016.0	1330
3464	023-00014-02-01	2010-03-16	2011-11-30	344542.0	4164016.0	624
3465	023-00014-14-01	2009-03-11	2016-03-16	321727.0	4085565.0	2562
3466	023-00014-14-1	2012-03-12	2013-07-02	321727.0	4085565.0	477
3467	023-00015-04-02	2017-05-18	2018-07-24	340640.0	4096731.0	432
3468	023-00016-01	2016-03-15	2021-03-23	463424.0	4221519.0	1834
3469	023-00017-07-00	2016-08-30	2016-10-04			35
3470	023-00020-01-01	2010-03-10	2012-11-27	342807.0	4136050.0	993
3471	023-00022-01-01	2013-03-15	2018-11-19	342807.0	4136050.0	2075
3472	023-00023-00-00	2006-06-14	2009-09-29	478191.0	4197044.0	1203
3473	023-00023-01	2015-09-17	2019-10-02	506234.62	4221198.94	1476
3474	023-00025-00-A0	2006-04-05	2008-11-17	368454.0	4114305.0	957
3475	023-00025-01	2019-07-24	2020-10-19	506249.0	4221185.0	453
3476	023-00028-03-1	2015-03-16	2015-10-13	367006.0	4115480.0	211
3477	023-00029-01	2009-03-16	2013-11-18	299583.0	4077116.0	1708
3478	023-00029-02	2019-03-18	2021-03-08	352566.0	4134786.0	721
3479	023-00029-03-00	2018-04-10	2021-03-22	272765.0	4102517.0	1077
3480	023-00031-01	2015-09-17	2019-09-30	502480.79	421349.9	1474
3481	023-00032-00-00	2006-03-14	2011-11-21	380901.0	4194696.0	2078
3482	023-00033-00-A0	2008-03-21	2008-11-25	351881.0	4181373.0	249
3483	023-00035-00-00	2006-03-13	2007-10-01	498100.0	4220328.0	567
3484	023-00037-00-00	2006-03-21	2011-11-28	301518.0	4191675.0	2078
