codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days	lat	lon
009-00012-03-01	2015-03-16	2021-03-24	318999.0	4094359.0	2200	36.97795137281272	-5.03355996022907
018-00423-01-1	2015-03-16	2021-03-23	420740.0	4190258.0	2199	37.85633727179171	-3.90099683931424
021-00027-02-1	2015-03-16	2021-03-23	416160.0	4192186.0	2199	37.87330227519575	-3.9532778659043983
004-00142-01-01	2015-03-17	2021-03-24	455154.0	4157565.0	2199	37.564019236104905	-3.5077967883054377
007-00075-02-01	2015-03-18	2021-03-24	428687.0	4171226.0	2198	37.685470811148804	-3.8087966277362963
016-00204-01-1	2015-03-18	2021-03-24	423461.0	4189658.0	2198	37.85116262464623	-3.8700053555660983
003-00257-01-01	2015-03-18	2021-03-24	417776.0	4176182.0	2198	37.72922148825568	-3.933089570815813
001-00482-01-01	2015-03-18	2021-03-24	425800.0	4158979.0	2198	37.57486570078725	-3.840292646536667
058-00003-01	2015-03-16	2021-03-22	476953.0	4169442.0	2198	37.67187491540184	-3.2613419144713625
003-00014-02-01	2015-03-18	2021-03-24	425252.0	4171046.0	2198	37.68357497589551	-3.847732404607016
005-00014-02-01	2015-03-18	2021-03-24	426142.0	4171168.0	2198	37.68474661179801	-3.8376520931464557
025-00418-01-1	2015-03-18	2021-03-24	420114.0	4184305.0	2198	37.80263400809962	-3.907454826523946
131-00130-06-01	2015-03-18	2021-03-24	355716.0	4093577.0	2198	36.97725404560573	-4.621061487584111
013-00099-02-01	2015-03-18	2021-03-24	412866.0	4176951.0	2198	37.73569751589843	-3.988893711783513
003-00025-01-06	2015-03-18	2021-03-24	349602.0	4124448.0	2198	37.25445363537151	-4.695921134988075
004-00243-02-15	2015-03-18	2021-03-24	423985.0	4181750.0	2198	37.77993834190275	-3.8632194565343707
019-00054-04-01	2015-03-18	2021-03-24	421097.0	4174985.0	2198	37.71872612795484	-3.8952768417040105
001-00209-01-01	2015-03-18	2021-03-24	426675.0	4159372.0	2198	37.57847776825727	-3.8304238303882077
013-00007-02-00	2015-03-10	2021-03-16	319643.0	4178716.0	2198	37.7379776483471	-5.046870439984939
011-00102-01-01	2015-03-18	2021-03-24	426934.0	4172298.0	2198	37.6949941141587	-3.828783918398714
007-00048-01-01	2015-03-18	2021-03-24	428863.0	4162604.0	2198	37.607778301090526	-3.805960566068758
005-00372-03-01	2015-03-18	2021-03-24	427273.0	4162441.0	2198	37.606184857518684	-3.82395688727678
006-00049-02-01	2015-03-18	2021-03-24	427660.0	4163729.0	2198	37.61782357716386	-3.819700210885687
013-00088-02-14	2015-03-17	2021-03-22	424160.0	4185483.0	2197	37.81359539128987	-3.8616230628935546
007-00193-01-03	2015-03-17	2021-03-22	455652.0	4211516.0	2197	38.05029544672655	-3.505461697703957
005-00880-01-00	2015-03-17	2021-03-22	467504.0	4177232.0	2197	37.74180138071666	-3.3688350917098115
003-00321-01-01	2015-03-18	2021-03-22	456113.0	4212974.0	2196	38.063458099910136	-3.500297027047121
004-00166-01-01	2015-03-18	2021-03-22	457253.0	4213448.0	2196	38.06778460578263	-3.48733018629416
001-00173-03-03	2015-03-18	2021-03-22	452764.0	4213795.0	2196	38.070688587695045	-3.5385272388649347
001-00255-02-01	2015-03-18	2021-03-22	454412.0	4213514.0	2196	38.068240679684685	-3.519721560660191
002-00004-08-01	2015-03-16	2021-03-17	377966.0	4180671.0	2193	37.76522949213831	-4.38551167316065
016-00113-01-01	2015-03-24	2021-03-24	370793.0	4131231.0	2192	37.31875703217566	-4.458222331497123
019-00203-01-01	2015-03-23	2021-03-23	414188.0	4149472.0	2192	37.48817633978068	-3.9706677994825688
004-00043-01-11	2015-03-25	2021-03-24	380913.0	4101058.0	2191	37.04820015256966	-4.339228187712913
004-00017-07-00	2015-03-17	2021-03-16	413282.0	4112310.0	2191	37.153164635638674	-3.9765710470461646
006-00046-02-01	2015-03-18	2021-03-17	369022.0	4211370.0	2191	38.040589885662655	-4.492604217280323
016-00018-01-00	2015-03-12	2021-03-11	378299.0	4170272.0	2191	37.67157152602868	-4.379992408064759
008-00157-01-00	2015-03-17	2021-03-16	463981.0	4143390.0	2191	37.436641342105844	-3.4071558312270898
022-00190-01-00	2015-03-18	2021-03-17	453471.0	4137652.0	2191	37.38445339390985	-3.5255944821875267
020-00169-17-00	2015-03-12	2021-03-11	414260.0	4147250.0	2191	37.46815746253132	-3.9695946820027577
038-00010-02-01	2015-03-17	2021-03-15	346389.0	4169324.0	2190	37.65824322005143	-4.741489353992271
010-00077-01-01	2015-03-18	2021-03-16	384170.0	4208877.0	2190	38.02019162724593	-4.3196219111384755
067-00098-02-01	2015-03-17	2021-03-15	359794.0	4196955.0	2190	37.909336944544584	-4.594915280324206
012-00024-02-01	2015-03-17	2021-03-15	377299.0	4178176.0	2190	37.742658758835404	-4.392660864557473
003-00110-04-00	2015-03-17	2021-03-15	392211.0	4117946.0	2190	37.20176448894705	-4.214630391633687
007-00009-01-00	2015-03-18	2021-03-15	380460.0	4115017.0	2189	37.1739378211656	-4.346547089540878
133-00072-01	2015-03-25	2021-03-22	239434.0	4054771.0	2189	36.60287475981007	-5.913048254783249
015-00031-12-00	2015-03-18	2021-03-15	358186.0	4211764.0	2189	38.042507135408094	-4.61612402698722
136-00084-02	2015-03-25	2021-03-22	240560.0	4052932.0	2189	36.58662431942031	-5.89985440839103
030-00069-02-03	2015-03-31	2021-03-23	455971.0	4219060.0	2184	38.11830074744554	-3.5022909322909643
008-00075-01-01	2015-03-31	2021-03-23	460499.0	4142615.0	2184	37.429513752736625	-3.4464735354506164
001-00222-01-09	2015-03-25	2021-03-17	393378.0	4131944.0	2184	37.32804905479601	-4.203488676350418
045-00202-02	2015-04-06	2021-03-22	449659.0	4195470.0	2177	37.90536762137573	-3.572639917952262
004-00002-09	2013-04-24	2019-04-10	275959.0	4255250.0	2177	38.41742793927863	-5.566215566544348
008-00080-03-00	2015-04-01	2021-03-17	447895.0	4101704.0	2177	37.06013520911904	-3.5860659497568514
002-00001-04	2013-04-24	2019-04-10	276930.0	4256997.0	2177	38.43339957577688	-5.555658363502813
013-00022-01	2015-04-13	2021-03-23	442367.0	4213141.0	2171	38.06419175548584	-3.6570018947801564
001-00183-01	2015-04-13	2021-03-23	452378.0	4214648.0	2171	38.078355902501194	-3.5429845923865546
003-00055-01	2015-04-13	2021-03-23	456917.0	4213876.0	2171	38.07162599511754	-3.491186362924921
012-00374-01-00	2015-04-13	2021-03-16	407020.0	4107413.0	2164	37.108427332623044	-4.046471950467539
057-00002-05-00	2015-04-20	2021-03-22	347694.0	4106799.0	2163	37.09512409203307	-4.713830782447739
133-00039-01-00	2015-04-27	2021-03-22	352638.0	4094419.0	2156	36.984363882404715	-4.655794913234701
012-00020-01	2015-05-04	2021-03-23	438982.0	4133215.0	2150	37.34362109144805	-3.6888878869742614
