	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
84	villaviciosa de cordoba	cordoba		30				
85	zuheros	cordoba	División administrativa.Municipio	30	-4.31649861	37.54383838	383699.9941	4156019.18
86	agron	granada		30				
87	alamedilla	granada	División administrativa.Municipio	30	-3.24475946	37.58043998	478388.9054	4159293.778
88	albolote	granada	División administrativa.Municipio	30	-3.65748033	37.23090185	441677.0094	4120690.031
89	albunuelas	granada		30				
90	alfacar	granada	División administrativa.Municipio	30	-3.57046354	37.23688695	449400.0668	4121303.965
91	algarinejo	granada	División administrativa.Municipio	30	-4.15798102	37.32575532	397406.7405	4131639.131
92	alhama de granada	granada	División administrativa.Municipio	30	-3.98605626	37.0037636	412267.7116	4095744.274
93	alhendin	granada		30				
94	arenas del rey	granada	División administrativa.Municipio	30	-3.89435636	36.95781442	420378.8436	4090566.236
95	atarfe	granada	División administrativa.Municipio	30	-3.6887337	37.22271103	438897.9785	4119801.051
96	baza	granada	División administrativa.Municipio	30	-2.77485648	37.49077779	519902.913	4149342.006
97	beas de guadix	granada	División administrativa.Municipio	30	-3.2055964	37.2809596	481774.3579	4126060.679
98	benalua de las villas	granada		30				
99	cacin	granada		30				
100	cadiar	granada		30				
101	calicasas	granada	División administrativa.Municipio	30	-3.61846278	37.27353143	445169.0724	4125396.027
102	campotejar	granada		30				
103	caniles	granada	División administrativa.Municipio	30	-2.72312271	37.43694658	524493.7932	4143382.042
104	castril	granada	División administrativa.Municipio	30	-2.77929932	37.79447243	519430.8959	4183034.642
105	chauchina	granada	División administrativa.Municipio	30	-3.77093889	37.20165324	431585.9002	4117521.1
106	chimeneas	granada	División administrativa.Municipio	30	-3.8211484	37.13262106	427063.8498	4109900.137
107	cijuela	granada	División administrativa.Municipio	30	-3.81055129	37.19984762	428068.8697	4117350.12
108	cogollos de guadix	granada	División administrativa.Municipio	30	-3.16027745	37.22498913	485781.2661	4119843.651
109	colomera	granada	División administrativa.Municipio	30	-3.71436522	37.3742622	436751.0437	4136631.158
110	cortes de baza	granada	División administrativa.Municipio	30	-2.771069	37.65604885	520193.0563	4167678.688
111	darro	granada	División administrativa.Municipio	30	-3.29325661	37.35059768	474027.4398	4133806.789
112	dehesas de guadix	granada	División administrativa.Municipio	30	-3.10106009	37.5910137	491078.1433	4160443.52
113	deifontes	granada	División administrativa.Municipio	30	-3.59424027	37.32594516	447353.1306	4131197.067
114	diezma	granada	División administrativa.Municipio	30	-3.33182232	37.32111088	470600.33	4130546.826
115	dilar	granada		30				
116	durcal	granada		30				
117	escuzar	granada		30				
118	gobernador	granada	División administrativa.Municipio	30	-3.32059771	37.47715283	471653.6741	4147854.875
119	granada	granada	División administrativa.Municipio	30	-3.60001883	37.17641932	446736.0154	4114611.965
120	guadahortuna	granada	División administrativa.Municipio	30	-3.39966868	37.55822516	464700.6303	4156876.075
121	guadix	granada	División administrativa.Municipio	30	-3.13638082	37.30161072	487913.4658	4128340.598
122	guevejar	granada		30				
123	huescar	granada		30				
124	illora	granada		30				
125	iznalloz	granada	División administrativa.Municipio	30	-3.53095401	37.39201995	453001.2603	4138494.103
126	jayena	granada	División administrativa.Municipio	30	-3.82352623	36.94763567	426674.9508	4089380.211
127	lanjaron	granada		30				
128	lecrin	granada		30				
129	loja	granada	División administrativa.Municipio	30	-4.15218743	37.16628219	397704.6858	4113940.281
130	malaha  la	granada		30				
131	marchal	granada	División administrativa.Municipio	30	-3.20145295	37.29676817	482145.4013	4127813.674
132	moclin	granada		30				
133	montefrio	granada		30				
134	montejicar	granada		30				
135	montillana	granada	División administrativa.Municipio	30	-3.67229243	37.50191737	440577.1854	4150766.304
136	moraleda de zafayona	granada	División administrativa.Municipio	30	-3.96451008	37.16801177	414369.7737	4113946.191
137	nivar	granada		30				
138	orgiva	granada		30				
139	otura	granada		30				
140	padul	granada	División administrativa.Municipio	30	-3.62445156	37.02421644	444456.0761	4097741.047
141	peza  la	granada		30				
142	pinar	granada		30				
143	salar	granada	División administrativa.Municipio	30	-4.06768452	37.14891071	405185.7078	4111925.246
144	santa fe	granada	División administrativa.Municipio	30	-3.71896428	37.18938734	436187.9382	4116124.069
145	ventas de huelma	granada	División administrativa.Municipio	30	-3.82180401	37.07036589	426945.8555	4102994.159
146	villanueva de las torres	granada	División administrativa.Municipio	30	-3.0883099	37.55620411	492200.135	4156580.468
147	villanueva mesia	granada		30				
148	zagra	granada	División administrativa.Municipio	30	-4.16837282	37.25404177	396387.719	4123694.215
149	zujar	granada		30				
150	almonte	huelva	División administrativa.Municipio	29	-6.51747768	37.26252304	720141.9129	4126884.167
151	beas	huelva	División administrativa.Municipio	29	-6.79288327	37.42630834	695291.5105	4144452.48
152	chucena	huelva	División administrativa.Municipio	29	-6.39509296	37.36036663	730697.1281	4138033.818
153	gibraleon	huelva		29				
154	hinojos	huelva	División administrativa.Municipio	29	-6.37618796	37.29250784	732580.9583	4130549.899
155	manzanilla	huelva	División administrativa.Municipio	29	-6.42830723	37.38709216	727674.2031	4140918.842
156	niebla	huelva	División administrativa.Municipio	29	-6.67961259	37.36154941	705492.2397	4137507.34
157	palma del condado  la	huelva		29				
158	paterna del campo	huelva	División administrativa.Municipio	29	-6.40156272	37.42110994	729938.2808	4144758.75
159	sanlucar de guadiana	huelva		29				
160	trigueros	huelva	División administrativa.Municipio	29	-6.83379212	37.38311439	691781.4537	4139575.593
161	villarrasa	huelva	División administrativa.Municipio	29	-6.60851594	37.38899587	711712.2651	4140710.185
162	albanchez de ubeda	jaen		30				
